pn_skid,kc_skid,pn_names,kc_names,claw_ids
62434,7910,Uniglomerular mALT VM5d adPN 62435 AJ,KCy 7911 BG,7910.5
49865,7910,Uniglomerular mALT VM5d adPN 49866 JMR,KCy 7911 BG,7910.6
22976,7910,Uniglomerular mALT VL2p adPN 22977 JMR,KCy 7911 BG,7910.7
39139,8006,Uniglomerular mALT VM5d adPN 39140 CF,KCy 8007 SAC,8006.1
39682,8006,Uniglomerular mALT DM4 adPN 39683 JMR,KCy 8007 SAC,8006.2
771242,8006,Uniglomerular mALT DC1 adPN 23665 AA,KCy 8007 SAC,8006.3
35447,8006,Uniglomerular mALT VM5d adPN 35448 AA,KCy 8007 SAC,8006.4
28876,8142,Uniglomerular mALT DM3 adPN 28877 JMR,KCy 8143 NM,8142.1
27048,8142,Uniglomerular mALT DP1l adPN 27049 BH,KCy 8143 NM,8142.2
39682,8142,Uniglomerular mALT DM4 adPN 39683 JMR,KCy 8143 NM,8142.3
23569,8142,Uniglomerular mALT VA4 lPN 23570 AA,KCy 8143 NM,8142.4
39254,8142,Uniglomerular mALT VC5 adPN 39255 JMR,KCy 8143 NM,8142.5
57516,8142,Uniglomerular mALT VP2 adPN 57517 LK ECM,KCy 8143 NM,8142.6
57410,8190,Uniglomerular mALT VA7l adPN 57411 NS,KCy 8191 IJA,8190.1
192547,8190,Uniglomerular lALT V ilPN bilateral 192548 EAM GSXEJ RJVR,KCy 8191 IJA,8190.2
40306,8190,Uniglomerular mALT VM7d adPN 40307 CF,KCy 8191 IJA,8190.3
39668,8190,Uniglomerular mALT DL5 adPN 39669 JMR,KCy 8191 IJA,8190.4
22976,8190,Uniglomerular mALT VL2p adPN 22977 JMR,KCy 8191 IJA,8190.5
37250,8218,Uniglomerular mALT DA4m adPN 37251 JMR,KCy 8219 JMR,8218.1
775731,8218,Uniglomerular mALT VM1 lPN 39831 JMR,KCy 8219 JMR,8218.2
37250,8218,Uniglomerular mALT DA4m adPN 37251 JMR,KCy 8219 JMR,8218.3
39254,8218,Uniglomerular mALT VC5 adPN 39255 JMR,KCy 8219 JMR,8218.4
57349,8238,Uniglomerular mALT DA3 adPN 57350 HG,KCy 8239 CF,8238.1
22906,8238,Uniglomerular mALT VA5 lPN 22907 JMR,KCy 8239 CF,8238.2
40306,8238,Uniglomerular mALT VM7d adPN 40307 CF,KCy 8239 CF,8238.3
32214,8238,Uniglomerular mALT VA7m lPN 32215 BH,KCy 8239 CF,8238.4
23569,8242,Uniglomerular mALT VA4 lPN 23570 AA,KCy 8243 JMR,8242.1
21999,8242,Uniglomerular mALT VL2a adPN 22000 JMR,KCy 8243 JMR,8242.2
30891,8242,Uniglomerular mALT DM1 lPN 30892 BH,KCy 8243 JMR,8242.3
57323,8242,Uniglomerular mALT DA1 lPN 57324 LK JSL,KCy 8243 JMR,8242.4
21999,8242,Uniglomerular mALT VL2a adPN 22000 JMR,KCy 8243 JMR,8242.5
16,8250,Uniglomerular mALT VA6 adPN 017 DB,KCy 8251 AA,8250.1
67408,8250,Uniglomerular mALT DM2 lPN 67409 BH,KCy 8251 AA,8250.2
58686,8250,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCy 8251 AA,8250.3
57402,8250,Uniglomerular mALT DC2 adPN 57403 SM,KCy 8251 AA,8250.4
57003,8290,Uniglomerular mALT VM4 lvPN 57004 ML,KCa'B'ap 8291 IJA,8290.1
16,8290,Uniglomerular mALT VA6 adPN 017 DB,KCa'B'ap 8291 IJA,8290.2
57319,8302,Uniglomerular mALT VA3 adPN 57320 IJA,KCy 8303 NS,8302.1
37935,8302,Uniglomerular mALT VC4 adPN 37936 CF,KCy 8303 NS,8302.2
45242,8302,Uniglomerular mALT VC2 lPN 45243 AA,KCy 8303 NS,8302.3
771242,8302,Uniglomerular mALT DC1 adPN 23665 AA,KCy 8303 NS,8302.4
57246,8302,Uniglomerular mALT VA1v adPN 57247 HG,KCy 8303 NS,8302.5
40637,8306,Uniglomerular mALT D adPN 40638 BH,KCy 8307 NS,8306.1
1775706,8306,Uniglomerular mALT DL1 adPN 22153 JMR,KCy 8307 NS,8306.2
58686,8306,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCy 8307 NS,8306.3
11544074,8306,Uniglomerular mALT DL1 adPN 27304 JMR,KCy 8307 NS,8306.4
32399,8306,Uniglomerular mALT DC3 adPN 32400 AA,KCy 8307 NS,8306.5
56623,8322,Uniglomerular mALT DL2v adPN 56624 BH,KCa'B'm 8323 NS,8322.1
67408,8322,Uniglomerular mALT DM2 lPN 67409 BH,KCa'B'm 8323 NS,8322.2
771242,8322,Uniglomerular mALT DC1 adPN 23665 AA,KCa'B'm 8323 NS,8322.3
30891,8322,Uniglomerular mALT DM1 lPN 30892 BH,KCa'B'm 8323 NS,8322.4
56623,8342,Uniglomerular mALT DL2v adPN 56624 BH,KCy 8343 NS,8342.1
39254,8342,Uniglomerular mALT VC5 adPN 39255 JMR,KCy 8343 NS,8342.2
58686,8342,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCy 8343 NS,8342.3
22976,8342,Uniglomerular mALT VL2p adPN 22977 JMR,KCy 8343 NS,8342.4
27048,8342,Uniglomerular mALT DP1l adPN 27049 BH,KCy 8343 NS,8342.5
42927,8342,Uniglomerular mALT VC4 adPN 42928 JMR,KCy 8343 NS,8342.6
23569,8342,Uniglomerular mALT VA4 lPN 23570 AA,KCy 8343 NS,8342.7
186573,8382,Uniglomerular mALT VA7m lPN 21764 AA,KCy 8383 SAC,8382.1
45882,8382,Biglomerular mALT VP3 + VP1l ivPN bilateral 45883 AA ECM,KCy 8383 SAC,8382.2
22132,8382,Uniglomerular mALT VC1 lPN 22133 BH,KCy 8383 SAC,8382.3
186573,8382,Uniglomerular mALT VA7m lPN 21764 AA,KCy 8383 SAC,8382.4
57410,8382,Uniglomerular mALT VA7l adPN 57411 NS,KCy 8383 SAC,8382.5
57385,8382,Uniglomerular mALT DM5 lPN 57386 HG,KCy 8383 SAC,8382.6
51080,8494,Uniglomerular mALT VA1v adPN 57251 LK,KCy 8495 IJA,8494.1
57402,8494,Uniglomerular mALT DC2 adPN 57403 SM,KCy 8495 IJA,8494.2
39139,8494,Uniglomerular mALT VM5d adPN 39140 CF,KCy 8495 IJA,8494.3
11544121,8494,Uniglomerular mALT VM7d adPN 40791 BH,KCy 8495 IJA,8494.4
165303,8494,Uniglomerular mALT VA3 adPN 34321 JMR,KCy 8495 IJA,8494.5
32214,8494,Uniglomerular mALT VA7m lPN 32215 BH,KCy 8495 IJA,8494.6
53631,8538,Uniglomerular mALT DA2 lPN 53632 AA,KCy 8539 CF,8538.1
38885,8538,Uniglomerular mALT DA2 lPN 38886 BH,KCy 8539 CF,8538.2
58686,8538,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCy 8539 CF,8538.3
40749,8538,Uniglomerular mALT DA4l adPN 40750 BH,KCy 8539 CF,8538.4
57410,8538,Uniglomerular mALT VA7l adPN 57411 NS,KCy 8539 CF,8538.5
57499,8538,Uniglomerular mALT VL1 ilPN bilateral 57500 ML,KCy 8539 CF,8538.6
775731,8538,Uniglomerular mALT VM1 lPN 39831 JMR,KCy 8539 CF,8538.7
23597,8538,Uniglomerular mALT VM4 adPN 23598 BH,KCy 8539 CF,8538.8
53631,8638,Uniglomerular mALT DA2 lPN 53632 AA,KCy 8639 AA,8638.1
23597,8638,Uniglomerular mALT VM4 adPN 23598 BH,KCy 8639 AA,8638.2
45242,8638,Uniglomerular mALT VC2 lPN 45243 AA,KCy 8639 AA,8638.3
39254,8638,Uniglomerular mALT VC5 adPN 39255 JMR,KCy 8639 AA,8638.4
771242,8638,Uniglomerular mALT DC1 adPN 23665 AA,KCy 8639 AA,8638.5
45882,8638,Biglomerular mALT VP3 + VP1l ivPN bilateral 45883 AA ECM,KCy 8639 AA,8638.6
11524119,8646,Uniglomerular lALT VP1m l2PN 65701 AJ ECM,KCy 8647 IJA,8646.1
165303,8646,Uniglomerular mALT VA3 adPN 34321 JMR,KCy 8647 IJA,8646.2
57410,8646,Uniglomerular mALT VA7l adPN 57411 NS,KCy 8647 IJA,8646.3
57410,8646,Uniglomerular mALT VA7l adPN 57411 NS,KCy 8647 IJA,8646.4
61773,8646,Uniglomerular mALT DL2v adPN 61774 JMR,KCy 8647 IJA,8646.5
57349,8646,Uniglomerular mALT DA3 adPN 57350 HG,KCy 8647 IJA,8646.6
57410,8646,Uniglomerular mALT VA7l adPN 57411 NS,KCy 8647 IJA,8646.7
22422,8646,Uniglomerular mALT DL2v adPN 22423 JMR,KCy 8647 IJA,8646.8
36390,8654,Uniglomerular mALT VA1d adPN 36391 BH,KCy 8655 AJ,8654.1
21999,8654,Uniglomerular mALT VL2a adPN 22000 JMR,KCy 8655 AJ,8654.2
39139,8654,Uniglomerular mALT VM5d adPN 39140 CF,KCy 8655 AJ,8654.3
41578,8654,Uniglomerular mALT VC3l adPN 41579 AJ,KCy 8655 AJ,8654.4
56623,8654,Uniglomerular mALT DL2v adPN 56624 BH,KCy 8655 AJ,8654.5
68697,8706,Uniglomerular mALT DM6 adPN 68698 BH,KCy  8707 NS,8706.1
56623,8706,Uniglomerular mALT DL2v adPN 56624 BH,KCy  8707 NS,8706.2
22744,8706,Uniglomerular mALT VC3m lvPN 22745 JMR,KCy  8707 NS,8706.3
21999,8726,Uniglomerular mALT VL2a adPN 22000 JMR,KCy 8727 NS,8726.1
42421,8726,Uniglomerular mALT VA1d adPN 42422 JMR,KCy 8727 NS,8726.2
57319,8726,Uniglomerular mALT VA3 adPN 57320 IJA,KCy 8727 NS,8726.3
22277,8726,Uniglomerular mALT VC3m lvPN 22278 AA,KCy 8727 NS,8726.4
67408,8726,Uniglomerular mALT DM2 lPN 67409 BH,KCy 8727 NS,8726.5
58686,8750,Uniglomerular mALT DP1m adPN 22768 BH ASB,KCy 8751 IJA,8750.1
775731,8750,Uniglomerular mALT VM1 lPN 39831 JMR,KCy 8751 IJA,8750.2
46493,8750,Uniglomerular mALT DC4 adPN 46494 JMR,KCy 8751 IJA,8750.3
67637,8750,Uniglomerular mALT DL2v adPN 67638 BH,KCy 8751 IJA,8750.4
65762,8902,Uniglomerular mALT DC2 adPN 65763 AJ,KCy 8903 IJA,8902.1
40306,8902,Uniglomerular mALT VM7d adPN 40307 CF,KCy 8903 IJA,8902.2
11544074,8902,Uniglomerular mALT DL1 adPN 27304 JMR,KCy 8903 IJA,8902.3
1775706,8902,Uniglomerular mALT DL1 adPN 22153 JMR,KCy 8903 IJA,8902.4
40749,8902,Uniglomerular mALT DA4l adPN 40750 BH,KCy 8903 IJA,8902.5
37250,8902,Uniglomerular mALT DA4m adPN 37251 JMR,KCy 8903 IJA,8902.6
22906,8902,Uniglomerular mALT VA5 lPN 22907 JMR,KCy 8903 IJA,8902.7
28876,8938,Uniglomerular mALT DM3 adPN 28877 JMR,KCy 8939 AA,8938.1
51886,8938,Uniglomerular mALT VM2 adPN 51887 AA,KCy 8939 AA,8938.2
30891,8938,Uniglomerular mALT DM1 lPN 30892 BH,KCy 8939 AA,8938.3
41308,8938,Uniglomerular mALT VM3 adPN 41309 BH,KCy 8939 AA,8938.4
23569,8938,Uniglomerular mALT VA4 lPN 23570 AA,KCy 8939 AA,8938.5
23512,8958,Uniglomerular mALT VM5v adPN 23513 CF,KCy 8959 NS,8958.1
186573,8958,Uniglomerular mALT VA7m lPN 21764 AA,KCy 8959 NS,8958.2
22744,8958,Uniglomerular mALT VC3m lvPN 22745 JMR,KCy 8959 NS,8958.3
23597,9178,Uniglomerular mALT VM4 adPN 23598 BH,KCy 9179 BAK,9178.1
53671,9178,Uniglomerular mALT VM5v adPN 53672 AA,KCy 9179 BAK,9178.2
11524119,9178,Uniglomerular lALT VP1m l2PN 65701 AJ ECM,KCy 9179 BAK,9178.3
11524119,9178,Uniglomerular lALT VP1m l2PN 65701 AJ ECM,KCy 9179 BAK,9178.4
1775706,9178,Uniglomerular mALT DL1 adPN 22153 JMR,KCy 9179 BAK,9178.5
30891,9178,Uniglomerular mALT DM1 lPN 30892 BH,KCy 9179 BAK,9178.6
57516,9210,Uniglomerular mALT VP2 adPN 57517 LK ECM,KCy 9211 SAC,9210.1
57319,9210,Uniglomerular mALT VA3 adPN 57320 IJA,KCy 9211 SAC,9210.2
27048,9210,Uniglomerular mALT DP1l adPN 27049 BH,KCy 9211 SAC,9210.3
57410,9210,Uniglomerular mALT VA7l adPN 57411 NS,KCy 9211 SAC,9210.4
39254,9210,Uniglomerular mALT VC5 adPN 39255 JMR,KCy 9211 SAC,9210.5
21999,9210,Uniglomerular mALT VL2a adPN 22000 JMR,KCy 9211 SAC,9210.6
771242,9210,Uniglomerular mALT DC1 adPN 23665 AA,KCy 9211 SAC,9210.7
16,9254,Uniglomerular mALT VA6 adPN 017 DB,KCa'B'm 9255 AEB,9254.1
771242,9254,Uniglomerular mALT DC1 adPN 23665 AA,KCa'B'm 9255 AEB,9254.2
46800,9254,Uniglomerular mALT VC3l adPN 46801 JMR,KCa'B'm 9255 AEB,9254.3
39682,9254,Uniglomerular mALT DM4 adPN 39683 JMR,KCa'B'm 9255 AEB,9254.4
