,0,1,2,3,4,anno_ids_0,anno_ids_1,anno_ids_2,anno_ids_3,anno_ids_4,kc_ids
127,VL2p,VC3m,VA7l,VA6,DC1,1419126,2500575,1419088,2500515,1419168,8342
128,VC5,DM5,VA3,DP1m,V,5604551,1419102,1419182,2500472,1419095,8342
129,VC4,VC3l,VA2,VC3l,VC3l,2500615,4587289,1419211,4587289,4587289,8342
130,VA4,VL2p,DM1,VA3,VC2,1283123,1419126,1419230,1419182,1419099,8342
131,DL2v,DM5,VA4,VM2,VA2,1419214,1419102,1283123,1419073,1419211,8342
132,DP1m,V,V,VC2,VC3m,2500472,1419095,1419095,1419099,2500575,8342
133,VM1,DL2d,DP1l,DL1,VA7l,1419153,1419171,2500556,1419144,1419088,10410
134,DL2d,VA7m,DM5,VC5,DA4l,1419171,1419121,1419102,5604551,4502221,10410
135,DL2v,VC2,VA3,VA3,DL2v,1419214,1419099,1419182,1419182,1419214,10410
136,VA2,DL2v,VM2,VM2,DM3,1419211,1419214,1419073,1419073,1419219,10410
137,DP1l,V,V,DC1,VL2p,2500556,1419095,1419095,1419168,1419126,10410
138,V,VL2p,DP1l,DP1l,V,1419095,1419126,2500556,2500556,1419095,10410
139,VC3l,DL4,DL5,VM5v,DL5,4587289,1419192,1419118,1194549,1419118,16570
140,DL1,VC4,VM5d,VA6,VC3l,1419144,2500615,1194543,2500515,4587289,16570
141,DC2,VA7m,VC3l,VA6,DL1,1283103,1419121,4587289,2500515,1419144,16570
142,VM7d,VM5d,DC3,VM5d,VC3m,1419114,1194543,1283111,1194543,2500575,16570
143,VA6,DA1,VL2p,VM7v,DL1,2500515,1419201,1419126,1419157,1419144,16570
144,VM2,DM1,DM5,DM4,DP1m,1419073,1419230,1419102,1419070,2500472,16570
145,DM5,DP1l,DA3,VA5,VA7l,1419102,2500556,2500563,2500530,1419088,8382
146,VA7l,VC1,VC3m,VA7m,VA5,1419088,1419195,2500575,1419121,2500530,8382
147,VC3m,VA7m,VL2p,VA7l,VA3,2500575,1419121,1419126,1419088,1419182,8382
148,VC1,VC3m,VC3m,VP1,VA7l,1419195,2500575,2500575,5304188,1419088,8382
149,VP3,DA2,VA7l,DP1l,VP3,3243803,1419133,1419088,2500556,3243803,8382
150,VA7m,VC5,VL2a,VA3,VA3,1419121,5604551,2500501,1419182,1419182,8382
151,VA6,VC3m,VL2a,DC3,DC3,2500515,2500575,2500501,1283111,1283111,16574
152,VL2a,DL1,DM6,DC3,DM6,2500501,1419144,2500548,1283111,2500548,16574
153,DL5,VC3l,VC3m,VM5v,DL3,1419118,4587289,2500575,1194549,2468810,16574
154,VA5,DA1,DA2,VC2,DC2,2500530,1419201,1419133,1419099,1283103,10463422
155,VP1,VA1d,DA1,VM5v,VA5,5304188,1283107,1419201,1194549,2500530,10463422
156,VC1,DA4l,VA7l,VC5,VP1,1419195,4502221,1419088,5604551,5304188,10463422
157,DP1l,VC2,VA7l,DM1,VA3,2500556,1419099,1419088,1419230,1419182,10463422
158,VA7l,VC1,VC3m,VC2,DM5,1419088,1419195,2500575,1419099,1419102,10463422
159,DP1l,DA2,VP2,V,VL1,2500556,1419133,4672152,1419095,2500599,10463422
160,DP1l,V,V,DP1l,V,2500556,1419095,1419095,2500556,1419095,10463422
161,VA5,DL1,VA5,DP1m,VA3,2500530,1419144,2500530,2500472,1419182,10463422
162,VC5,VP1,VA7m,DA2,DL5,5604551,5304188,1419121,1419133,1419118,10463422
163,VL2a,VA1d,VA6,DA1,DA1,2500501,1283107,2500515,1419201,1419201,186561
164,DL2v,VC2,V,DL2v,VA3,1419214,1419099,1419095,1419214,1419182,186561
165,DP1m,V,DM1,DL2d,DM4,2500472,1419095,1419230,1419171,1419070,186561
166,VM4,VP1,VL2a,VC3m,VM4,1419198,5304188,2500501,2500575,1419198,186561
167,DL5,VC3m,DL3,VC3l,VM5d,1419118,2500575,2468810,4587289,1194543,186561
168,VM5d,DC1,DL5,DL3,VL2a,1194543,1419168,1419118,2468810,2500501,186561
169,DM1,DP1m,DM2,DM4,DM1,1419230,2500472,1419110,1419070,1419230,10442
170,DM3,VA4,DM4,VA4,DM1,1419219,1283123,1419070,1283123,1419230,10442
171,DM3,V,V,DM5,VA4,1419219,1419095,1419095,1419102,1283123,10442
172,DM4,DM1,VM3,VA4,VA4,1419070,1419230,1419178,1283123,1283123,10442
173,VM2,VA2,VC1,VA2,VC1,1419073,1419211,1419195,1419211,1419195,4323562
174,DA1,DC3,VA1v,VC1,DC1,1419201,1283111,2500585,1419195,1419168,4323562
175,VA1d,DA1,DA1,DA1,DA1,1283107,1419201,1419201,1419201,1419201,4323562
176,VM3,DM5,DM5,V,VM3,1419178,1419102,1419102,1419095,1419178,4323562
177,VA4,DP1m,VM2,VA2,VM2,1283123,2500472,1419073,1419211,1419073,4323562
178,VA1d,DL1,DL1,DA1,DA1,1283107,1419144,1419144,1419201,1419201,4323562
179,DA1,VA1d,DC3,DC1,DL1,1419201,1283107,1283111,1419168,1419144,4323562
180,VM1,DL2d,DP1m,DP1l,VP1,1419153,1419171,2500472,2500556,5304188,424175
181,V,DM1,DP1m,V,DL2d,1419095,1419230,2500472,1419095,1419171,424175
182,DP1m,DC1,DM2,DM4,VL2p,2500472,1419168,1419110,1419070,1419126,424175
183,DM5,VA3,VA7m,V,DL2v,1419102,1419182,1419121,1419095,1419214,424175
184,VM5v,DC1,DM6,DP1m,VC3l,1194549,1419168,2500548,2500472,4587289,424175
185,VC4,DM2,DL2v,DM3,V,2500615,1419110,1419214,1419219,1419095,424175
186,VA4,DM4,VM3,DM4,DM1,1283123,1419070,1419178,1419070,1419230,424175
187,DM4,VA4,DM1,DL2v,DP1m,1419070,1283123,1419230,1419214,2500472,10482
188,DA1,DC3,DC1,DA1,VM5d,1419201,1283111,1419168,1419201,1194543,10482
189,VA3,VC4,VL2p,VL2a,VC5,1419182,2500615,1419126,2500501,5604551,10482
190,DC1,DA1,DM2,DC3,VA2,1419168,1419201,1419110,1283111,1419211,10482
191,VA2,DP1m,DM2,DM2,DC1,1419211,2500472,1419110,1419110,1419168,10482
192,DM1,VA4,DM4,DP1m,DL2v,1419230,1283123,1419070,2500472,1419214,10482
193,DM3,DM1,DM4,VA4,VA4,1419219,1419230,1419070,1283123,1283123,10482
194,VA4,V,DM4,DM3,V,1283123,1419095,1419070,1419219,1419095,10482
195,VC5,DP1l,V,VC2,VA2,5604551,2500556,1419095,1419099,1419211,10482
196,VM5v,DC2,VA3,VA5,VC3m,1194549,1283103,1419182,2500530,2500575,424185
197,DL2d,VM3,V,DM1,DP1l,1419171,1419178,1419095,1419230,2500556,424185
198,DC1,DL5,DC2,DM2,VA7m,1419168,1419118,1283103,1419110,1419121,424185
199,VC3m,DC2,DP1m,VA7m,DL1,2500575,1283103,2500472,1419121,1419144,424185
200,VA5,DM5,DA2,DM5,DL1,2500530,1419102,1419133,1419102,1419144,424185
201,DP1l,VM3,DL2v,VA4,V,2500556,1419178,1419214,1283123,1419095,319740
202,VM5v,DM6,DL5,VM5v,VM7d,1194549,2500548,1419118,1194549,1419114,319740
203,VC3l,VA2,DA3,DM5,VC4,4587289,1419211,2500563,1419102,2500615,319740
204,DM3,DM1,DL2v,DM4,DM2,1419219,1419230,1419214,1419070,1419110,319740
205,DM6,DM6,VC5,VC4,VC3l,2500548,2500548,5604551,2500615,4587289,12550
206,DL1,DM2,VC5,DM2,DM6,1419144,1419110,5604551,1419110,2500548,12550
207,VA4,DM4,DM1,DM1,DM1,1283123,1419070,1419230,1419230,1419230,12550
208,DM4,DM5,DM2,DP1m,DM1,1419070,1419102,1419110,2500472,1419230,12550
209,DM6,DP1m,DM2,DM2,DM4,2500548,2500472,1419110,1419110,1419070,12550
210,VM5d,DL3,VM7d,VM5d,VC3m,1194543,2468810,1419114,1194543,2500575,12550
211,VM7v,VM7d,DC2,DL5,VA1v,1419157,1419114,1283103,1419118,2500585,12550
212,DL2d,VA7m,VP1,VA7l,DL2v,1419171,1419121,5304188,1419088,1419214,16646
213,DM6,DM6,DM6,VC4,VC3l,2500548,2500548,2500548,2500615,4587289,16646
214,VP2,VP2,VP3,VP1,V,4672152,4672152,3243803,5304188,1419095,16646
215,DL1,DL1,DA1,VM5d,VA6,1419144,1419144,1419201,1194543,2500515,16646
216,VA7m,VA5,DC2,DA2,VA7m,1419121,2500530,1283103,1419133,1419121,16646
217,VP1,DA1,VA7m,VA7l,DA2,5304188,1419201,1419121,1419088,1419133,16646
218,VL2p,VA6,DL1,DL2v,DP1m,1419126,2500515,1419144,1419214,2500472,205065
219,DA2,VP1,VC5,VA7m,DL2d,1419133,5304188,5604551,1419121,1419171,205065
220,DA4l,DP1l,VC1,VP1,DM1,4502221,2500556,1419195,5304188,1419230,205065
221,DM5,DL2d,DA4l,DP1l,DP1m,1419102,1419171,4502221,2500556,2500472,205065
222,VC3m,V,DA3,DL2d,VM3,2500575,1419095,2500563,1419171,1419178,205065
223,DL1,VM5d,VC3l,DL1,VC3m,1419144,1194543,4587289,1419144,2500575,14602
224,DA1,DC3,VA1d,DL1,DC1,1419201,1283111,1283107,1419144,1419168,14602
225,VM5d,VM5d,VM5d,DL1,VC3m,1194543,1194543,1194543,1419144,2500575,14602
226,VC5,DP1l,DM6,VC2,DM3,5604551,2500556,2500548,1419099,1419219,14602
227,VL2p,VM3,VC2,VA4,VA7m,1419126,1419178,1419099,1283123,1419121,14602
228,DM5,DM4,VM3,V,VM3,1419102,1419070,1419178,1419095,1419178,14602
229,DM1,DL2v,VM2,VM3,VA4,1419230,1419214,1419073,1419178,1283123,14602
230,VC3m,VA7m,VC1,VA7l,VM1,2500575,1419121,1419195,1419088,1419153,1796364
231,DA1,DA1,DA1,DC1,DA1,1419201,1419201,1419201,1419168,1419201,1796364
232,DA2,VA3,VA7m,DA4l,VC2,1419133,1419182,1419121,4502221,1419099,1796364
233,DA1,DC2,VA1v,DA1,VA1v,1419201,1283103,2500585,1419201,2500585,1796364
234,DA1,VA1d,DL1,DL4,DC3,1419201,1283107,1419144,1419192,1283111,14618
235,DP1m,VC5,DM6,DM4,DM3,2500472,5604551,2500548,1419070,1419219,14618
236,DA4l,DP1l,DP1m,DL2d,VC1,4502221,2500556,2500472,1419171,1419195,424220
237,VA5,VA3,VA3,VA7m,VA5,2500530,1419182,1419182,1419121,2500530,424220
238,DM3,DL2v,DM2,VA2,DM1,1419219,1419214,1419110,1419211,1419230,424220
239,VM7v,VM7d,VM7d,DL5,DL5,1419157,1419114,1419114,1419118,1419118,424220
240,VM5v,VA5,DP1m,VA7m,VC3m,1194549,2500530,2500472,1419121,2500575,424220
241,DM6,DP1m,DC2,DC4,VM5v,2500548,2500472,1283103,1419077,1194549,10094877
242,VC3l,VC3l,VM5d,VM7v,DL1,4587289,4587289,1194543,1419157,1419144,10094877
243,DM2,DM2,DC1,DL1,DM6,1419110,1419110,1419168,1419144,2500548,10094877
244,DL1,VC3l,VA6,VC4,DM6,1419144,4587289,2500515,2500615,2500548,10094877
245,V,V,DM3,DL2v,DP1l,1419095,1419095,1419219,1419214,2500556,10094877
246,VA4,DM4,DM1,DM3,DM1,1283123,1419070,1419230,1419219,1419230,10526
247,VL2p,VA4,VC2,V,VA3,1419126,1283123,1419099,1419095,1419182,10526
248,VA6,DA4l,DM2,DA4l,VL2p,2500515,4502221,1419110,4502221,1419126,10526
249,DP1m,DM4,DM5,DM3,VA2,2500472,1419070,1419102,1419219,1419211,10526
250,DL5,VM5v,DM6,VM7v,VM7d,1419118,1194549,2500548,1419157,1419114,12586
251,DC2,VC3m,VA6,VC3l,VM5d,1283103,2500575,2500515,4587289,1194543,12586
252,DL2d,V,V,DM5,V,1419171,1419095,1419095,1419102,1419095,12586
253,DM2,DM6,DM6,DM6,DM4,1419110,2500548,2500548,2500548,1419070,12586
254,VM2,DM5,VM3,VA4,DL2v,1419073,1419102,1419178,1283123,1419214,12586
255,VM5d,DL3,VM5d,VM5d,DL1,1194543,2468810,1194543,1194543,1419144,8494
256,VM7d,VM7v,VM7v,DL5,DL5,1419114,1419157,1419157,1419118,1419118,8494
257,VA3,DA3,VA3,VA5,VC4,1419182,2500563,1419182,2500530,2500615,8494
258,VA3,VA7m,DM5,VA5,DM6,1419182,1419121,1419102,2500530,2500548,8494
259,DC2,VA6,VM7v,DL1,VM7v,1283103,2500515,1419157,1419144,1419157,8494
260,VA1v,DC3,VA1v,VA6,VM7v,2500585,1283111,2500585,2500515,1419157,8494
261,DP1m,DM3,DM2,DP1m,DM1,2500472,1419219,1419110,2500472,1419230,12590
262,DP1m,VC1,DA2,DC2,VA7m,2500472,1419195,1419133,1283103,1419121,12590
263,VA6,DC2,VC3m,VM5d,DL1,2500515,1283103,2500575,1194543,1419144,12590
264,VC3m,VM5d,VC5,VM7d,DC4,2500575,1194543,5604551,1419114,1419077,12590
265,VC4,VC5,VC1,DP1m,VC4,2500615,5604551,1419195,2500472,2500615,12590
266,DM2,DM3,DP1m,DP1m,DM2,1419110,1419219,2500472,2500472,1419110,12590
267,VM5d,VC3l,DM6,DP1m,DC4,1194543,4587289,2500548,2500472,1419077,424239
268,VC4,VA2,VC3l,VC3l,DM6,2500615,1419211,4587289,4587289,2500548,424239
269,DM6,VM5v,VM5d,DM2,VC3l,2500548,1194549,1194543,1419110,4587289,424239
270,VM3,DL2d,VM2,VA4,VA2,1419178,1419171,1419073,1283123,1419211,424239
271,VC5,DC1,VC3m,V,VP2,5604551,1419168,2500575,1419095,4672152,514351
272,DL2v,DP1m,V,DL2v,DP1l,1419214,2500472,1419095,1419214,2500556,514351
273,DP1m,DC1,DM2,DM4,VL2p,2500472,1419168,1419110,1419070,1419126,514351
274,VL2p,DP1m,DL2v,VA6,DL1,1419126,2500472,1419214,2500515,1419144,514351
275,DC2,VC3m,VM5d,VA6,VC3l,1283103,2500575,1194543,2500515,4587289,12594
276,DM3,DP1l,VC5,VM3,DM4,1419219,2500556,5604551,1419178,1419070,12594
277,DC3,VL2a,DA1,DA1,VA6,1283111,2500501,1419201,1419201,2500515,12594
278,DM3,DM2,DP1m,DP1m,DM2,1419219,1419110,2500472,2500472,1419110,12594
279,VA7m,VC3l,DL5,DC2,DM6,1419121,4587289,1419118,1283103,2500548,12594
280,VC4,VC4,VM5d,VC4,VA6,2500615,2500615,1194543,2500615,2500515,12594
281,DM1,DM4,VM3,VM2,DL2v,1419230,1419070,1419178,1419073,1419214,12594
282,DM5,VA7m,DL2d,VM1,DP1l,1419102,1419121,1419171,1419153,2500556,3027248
283,VC3m,V,DA3,DL2d,VM3,2500575,1419095,2500563,1419171,1419178,3027248
284,DP1l,DL2d,VC5,DA4l,VC3m,2500556,1419171,5604551,4502221,2500575,3027248
285,DC1,VM5v,DM6,DP1m,DM2,1419168,1194549,2500548,2500472,1419110,3027248
286,VA7m,DA2,DA2,DA3,DL5,1419121,1419133,1419133,2500563,1419118,3027248
287,VC1,VA6,DA1,DA4l,VL2p,1419195,2500515,1419201,4502221,1419126,3027248
288,VM1,DL2d,DP1l,DP1m,DM5,1419153,1419171,2500556,2500472,1419102,3027248
289,VL2a,VC4,VM7d,DP1m,DM4,2500501,2500615,1419114,2500472,1419070,8302896
290,DC1,DL3,DL4,VM5d,DL1,1419168,2468810,1419192,1194543,1419144,8302896
291,DP1l,DM5,DA3,VC2,VM3,2500556,1419102,2500563,1419099,1419178,8302896
292,DL4,DL1,DL1,DA1,DL3,1419192,1419144,1419144,1419201,2468810,8302896
293,VL2a,VA1v,DL5,DL1,VM5d,2500501,2500585,1419118,1419144,1194543,8302896
294,DC1,DM2,VA2,DM6,DM3,1419168,1419110,1419211,2500548,1419219,424245
295,DM5,VA3,VA7m,V,DL2v,1419102,1419182,1419121,1419095,1419214,424245
296,DM4,V,VC3m,VC4,DL2v,1419070,1419095,2500575,2500615,1419214,424245
297,DL2d,VM3,V,DP1l,DM4,1419171,1419178,1419095,2500556,1419070,424245
